,2000.000,112.121,,1000.000,72.300,,1000.000,1.394,,1000.000,0.025,,2000.000,113.198,,2000.000,-21.984,,2000.000,-22.764,,1000.000,-133.065,,1000.000,-132.818,,2000.000,0.149,,2000.000,0.014,,1000.000,-40.367,,,,,2000.000,1.859,,2000.000,0.118,,2000.000,0.010,,1000.000,-40.192,,,,,1000.000,-92.698,,1000.000,-92.626
,1900.000,110.930,,1060.000,74.958,,1060.000,1.938,,1060.000,0.019,,1900.000,111.181,,1900.000,-23.895,,1900.000,-24.683,,1060.000,-132.721,,1060.000,-132.490,,2120.000,0.103,,2120.000,0.004,,950.000,-40.387,,,,,2120.000,1.183,,2120.000,0.095,,2120.000,0.004,,950.000,-40.188,,,,,1060.000,-92.354,,1060.000,-92.298
,1800.000,110.582,,1120.000,74.522,,1120.000,1.923,,1120.000,0.031,,1800.000,110.705,,1800.000,-24.109,,1800.000,-24.804,,1120.000,-132.431,,1120.000,-132.202,,2240.000,0.107,,,,,900.000,-40.439,,,,,2240.000,0.675,,2240.000,0.099,,,,,900.000,-40.215,,,,,1120.000,-92.064,,1120.000,-92.010
,1700.000,110.716,,1180.000,73.954,,1180.000,1.894,,1180.000,0.033,,1700.000,110.524,,1700.000,-24.671,,1700.000,-25.133,,1180.000,-132.348,,1180.000,-132.070,,2360.000,0.122,,,,,850.000,-40.481,,,,,2360.000,0.536,,2360.000,0.086,,,,,850.000,-40.240,,,,,1180.000,-91.980,,1180.000,-91.878
,1600.000,110.049,,1250.000,71.213,,1250.000,1.504,,1250.000,0.035,,1600.000,109.841,,1600.000,-25.312,,1600.000,-25.743,,1250.000,-132.577,,1250.000,-132.586,,2500.000,0.150,,,,,800.000,-40.515,,,,,2500.000,0.601,,2500.000,0.116,,,,,800.000,-40.270,,,,,1250.000,-92.210,,1250.000,-92.394
,1500.000,108.158,,1320.000,69.225,,1320.000,1.173,,1320.000,0.025,,1500.000,108.910,,1500.000,-26.595,,1500.000,-26.502,,1320.000,-134.034,,1320.000,-134.307,,2650.000,0.121,,,,,750.000,-40.552,,,,,2650.000,0.587,,2650.000,0.098,,,,,750.000,-40.301,,,,,1320.000,-93.666,,1320.000,-94.115
,1400.000,108.986,,1400.000,68.861,,1400.000,0.986,,1400.000,0.022,,1400.000,108.522,,1400.000,-27.375,,1400.000,-26.995,,1400.000,-135.897,,1400.000,-135.517,,2800.000,0.102,,,,,710.000,-40.589,,,,,2800.000,0.396,,2800.000,0.077,,,,,710.000,-40.326,,,,,1400.000,-95.530,,1400.000,-95.325
,1320.000,107.842,,1500.000,67.919,,1500.000,0.973,,1500.000,0.020,,1320.000,108.118,,1320.000,-25.916,,1320.000,-26.189,,1500.000,-135.505,,1500.000,-135.412,,3000.000,0.105,,,,,670.000,-40.617,,,,,3000.000,0.185,,3000.000,0.073,,,,,670.000,-40.347,,,,,1500.000,-95.137,,1500.000,-95.220
,1250.000,107.670,,1600.000,63.259,,1600.000,0.458,,1600.000,0.014,,1250.000,107.907,,1250.000,-24.670,,1250.000,-24.678,,1600.000,-135.153,,1600.000,-135.584,,3150.000,0.102,,,,,630.000,-40.643,,,,,3150.000,-0.010,,3150.000,0.079,,,,,630.000,-40.362,,,,,1600.000,-94.785,,1600.000,-95.392
,1180.000,108.406,,1700.000,60.510,,1700.000,0.309,,1700.000,0.021,,1180.000,108.351,,1180.000,-23.997,,1180.000,-23.720,,1700.000,-135.196,,1700.000,-135.658,,3350.000,0.116,,,,,600.000,-40.692,,,,,3350.000,0.298,,3350.000,0.084,,,,,600.000,-40.377,,,,,1700.000,-94.828,,1700.000,-95.466
